date,temp,rain,sun
20051231,4.6,0,9.2
20060101,3.3,0,0
20060102,3.9,4,0
20060103,4.3,0,6.7
20060104,3.6,0,1.7
20060105,2.8,0,2.7
20060106,0.9,0,0.1
20060107,2.5,0,8.4
20060108,4.1,0,9.5
20060109,3,0,4.4
20060110,3.3,1,4.1
20060111,5.3,0,9
20060112,5.2,0,9.1
20060113,3.3,0,0
20060114,6.6,77,0
20060115,10.1,0.5,8.6
20060116,8.7,0,0.3
20060117,7.7,0.5,4
20060118,5.2,0,0.3
20060119,3.9,0,9.1
20060120,3.6,0,6.2
20060121,1.1,23.5,0
20060122,2,0,4.2
20060123,2.4,0,9.6
20060124,4.8,0,9.7
20060125,5.1,0,7.9
20060126,6,0,9.4
20060127,6.1,0,9
20060128,5.4,0,9.8
20060129,5.6,0,9.1
20060130,8.1,0,9.1
20060131,6.5,0.5,0
20060201,5.6,39,0
20060202,7.6,0,2.5
20060203,5.9,0,7.4
20060204,1.6,0,9.8
20060205,2,0,10
20060206,1.4,0,0
20060207,4.5,4.5,1
20060208,7.9,0.5,8.6
20060209,4.4,0,10.2
20060210,5,0,10.2
20060211,7.1,0,10.1
20060212,4.5,0,8
20060213,5.5,0,10.1
20060214,10.1,0,9.5
20060215,15.3,0,7.2
20060216,7,10,0
20060217,6.5,1,0
20060218,3.9,1,1.7
20060219,6.6,0,0.6
20060220,6.4,21.5,0
20060221,7.4,0,0
20060222,10.5,0,4.8
20060223,10.5,0,3.5
20060224,6.4,6.5,0
20060225,7.2,0,4.9
20060226,8,27.5,0
20060227,9,0.5,3
20060228,5,0,0
20060301,5.5,32.5,0
20060302,7.6,0,0.2
20060303,5.4,1.5,1.3
20060304,5.8,0,10.7
20060305,8.4,0,10.5
20060306,11.6,0,3.4
20060307,10,0,1.3
20060308,11.1,0,10
20060309,8.6,0,2
20060310,8.3,2.5,0
20060311,11.4,0,10.6
20060312,14,0,1.7
20060313,5.5,0,2.5
20060314,5.3,0,7.8
20060315,7.9,0,11.1
20060316,12.2,15.5,4.6
20060317,13.3,1,7.2
20060318,11.8,2,6.4
20060319,9.9,5.5,1.1
20060320,8.3,0,10.1
20060321,11.4,0,10.1
20060322,10.3,8.5,5.4
20060323,9.8,8,2
20060324,11.2,0,4.7
20060325,10.1,0,8.4
20060326,13.1,0.5,0.5
20060327,12.1,0,8.1
20060328,13,4,2.7
20060329,9.9,0,9.3
20060330,7.7,0,6.7
20060331,8.3,0,10.9
20060401,10.3,0,9.9
20060402,13.6,14,0
20060403,13.9,0,12.1
20060404,14.2,0,9.7
20060405,11,24.5,0
20060406,11.5,0,10.6
20060407,10,0,0.4
20060408,11.8,3,6.9
20060409,12.1,0,11.6
20060410,10.5,0,0
20060411,12.9,10,0
20060412,16,45.5,0
20060413,16.8,0,2.1
20060414,12.5,0,1.5
20060415,9.7,0,9.4
20060416,8.8,5,0.2
20060417,13.2,0,10.6
20060418,15.9,0,8.4
20060419,17.4,0,0.8
20060420,17,1,4.7
20060421,12.8,0,7.6
20060422,13.3,0,10.6
20060423,14.1,0.5,0.1
20060424,15.8,0.5,6.4
20060425,11.1,2.5,4
20060426,12.9,0,5.2
20060427,13,4.5,0
20060428,14.9,1,11.3
20060429,15.8,1.5,0
20060430,17.6,0,8.6
20060501,21.4,0,10.2
20060502,15.1,19,0
20060503,12.8,0,12.9
20060504,16.1,0,10.4
20060505,19.3,0,11.4
20060506,19.7,0,10
20060507,18.6,2.5,0
20060508,16.1,0.5,0.8
20060509,14.8,0,1.1
20060510,18.2,3,0
20060511,19.9,13.5,0
20060512,16.6,0,5.3
20060513,13,11,0
20060514,15.1,2,0.3
20060515,18.8,0,7.8
20060516,18.2,0,0
20060517,18.3,1.5,0.5
20060518,16.8,9.5,0
20060519,19.5,11,0.5
20060520,23.4,0,5
20060521,20.7,0,10.7
20060522,20.3,0,1.6
20060523,20.6,1,0.1
20060524,19.9,11.5,3.2
20060525,17.5,0,11.6
20060526,18.7,0,0.6
20060527,17.9,2.5,0
20060528,20.6,12,2.7
20060529,22.7,0,4.6
20060530,21.6,0,5.7
20060531,21.6,0,12.2
20060601,22.4,0,11
20060602,21.4,0,0
20060603,18.5,0,0.4
20060604,17.9,0,4.1
20060605,18.4,0,0.8
20060606,20,1.5,3
20060607,19.8,0,8.3
20060608,19.4,0,1.5
20060609,19,24,0
20060610,22.6,0,3.5
20060611,19.1,13,0
20060612,19.8,0,1.1
20060613,21.1,0,0
20060614,22.1,0,2.2
20060615,22.3,7.5,0
20060616,22.3,42.5,0
20060617,24,10.5,3.4
20060618,21.3,23.5,0
20060619,22.2,0,4.7
20060620,23.3,0,2.3
20060621,22.5,0,0.4
20060622,23.3,0,0
20060623,23,0,0.4
20060624,23.8,0,8
20060625,22.7,0,0
20060626,22.1,2,0
20060627,24.3,0,6.7
20060628,25.8,0,6.1
20060629,27.4,0,10.8
20060630,25.9,0,2.8
20060701,25.8,2.5,1.4
20060702,26.2,0,2.5
20060703,26,0,5.3
20060704,24.9,0,2.2
20060705,23,14.5,0
20060706,24,3.5,0.6
20060707,25.2,0,1.7
20060708,25.5,0,1.4
20060709,24.6,0.5,0
20060710,26,0.5,3.8
20060711,27.4,0,3.3
20060712,27.7,0,1.4
20060713,27.4,0.5,3.5
20060714,29,0,7.8
20060715,29.6,0,9
20060716,27.3,0.5,1.2
20060717,24.2,15,0
20060718,21.2,23.5,0
20060719,20.9,31,0
20060720,22.1,0,0
20060721,21.1,15,0
20060722,23,0,0
20060723,23.7,4.5,0
20060724,24.3,3,0
20060725,24.3,1,0
20060726,26.8,0,1
20060727,26.2,0,1
20060728,25.9,0,0.7
20060729,27.4,0,3.8
20060730,24,0,7.3
20060731,22.7,0,8.1
20060801,22.1,0,0.7
20060802,24,0,4
20060803,25.9,0,10.6
20060804,27.1,0,12.8
20060805,28.5,0,12.2
20060806,27.9,0,9.5
20060807,29.1,0,6.9
20060808,25.4,9,0
20060809,25.1,59,0
20060810,27.5,0,11.5
20060811,26.7,0,3.9
20060812,25.5,4.5,0.5
20060813,25.9,21,5.5
20060814,27.8,0,8.6
20060815,26.1,0.5,1.1
20060816,27,22,2.6
20060817,28.9,8,4.3
20060818,29.5,0,9.9
20060819,28.5,25,4.8
20060820,27.9,0,4
20060821,27.9,0,8.4
20060822,27.9,0,8.1
20060823,27.4,0,2.5
20060824,28.4,0,5.3
20060825,27.5,0,1.6
20060826,24.9,17,0.1
20060827,25,0,2
20060828,25.5,0,0.9
20060829,27.4,0,9.4
20060830,25.7,2.5,0.1
20060831,26.3,0,10.7
20060901,22.1,16,0
20060902,23.8,0,10.9
20060903,25.3,0,10.9
20060904,25.5,0,6.7
20060905,27.6,0,10.5
20060906,24.5,2,0.6
20060907,25.5,0,1.4
20060908,25.9,6,1
20060909,26.6,0,3.6
20060910,28.3,0,10.7
20060911,25.8,2.5,2.6
20060912,22.1,1,0
20060913,19.1,6.5,0
20060914,19.1,8.5,0
20060915,21.4,0,7.5
20060916,21.7,0,5.7
20060917,21.6,4.5,0
20060918,25,7,0.1
20060919,27.2,0,4.8
20060920,24.8,0,9.7
20060921,23.6,0,6.6
20060922,22,0,0.7
20060923,20.9,0,5.2
20060924,20.7,0,9.3
20060925,20.6,0,5.4
20060926,19.2,83,0
20060927,20.2,21.5,0.8
20060928,23.1,0,10
20060929,21.9,0,1.7
20060930,21.6,0,0.6
20061001,20.6,6.5,2
20061002,19,18.5,0
20061003,21.7,1.5,1
20061004,21.7,0,0.6
20061005,20.6,27,0
20061006,18.5,156,0
20061007,21,3.5,6.7
20061008,21.9,0,11.2
20061009,20.6,0,10.9
20061010,21,0,10
20061011,21.8,0,7.6
20061012,22.6,0,8.4
20061013,19.8,0,4.4
20061014,17.9,0,6
20061015,17.2,0,2.2
20061016,19,0,10.1
20061017,19.9,0,8.1
20061018,19.3,0,7
20061019,19.5,0,8.2
20061020,19.9,0,1.6
20061021,18.8,0,6
20061022,19.1,5.5,2.5
20061023,17.5,54.5,0
20061024,13.5,51,0.1
20061025,16.4,0,7.3
20061026,18,0,6.9
20061027,18.4,0,1.1
20061028,18.2,0,4.1
20061029,18.2,11,2.3
20061030,17.9,0,7.9
20061031,18.1,0,7.1
20061101,17.5,0,8.8
20061102,16.2,0,2.6
20061103,16.6,0,6.7
20061104,16.7,0,2.8
20061105,17.7,0,7.6
20061106,17.8,0,0.6
20061107,17.9,2,6
20061108,15.2,0,9.8
20061109,16.7,0,9.8
20061110,18.3,0,8.8
20061111,15.8,12.5,0
20061112,13.2,0,6.1
20061113,14,0,8.7
20061114,17,0,8.2
20061115,15.2,0,4.5
20061116,12.9,0,8.5
20061117,10.7,0,0.2
20061118,11.3,1,7.1
20061119,10,27,0
20061120,13.2,36,0.9
20061121,14.3,0,8.1
20061122,14.3,0,6.3
20061123,11.4,5,0
20061124,9.8,5.5,7.7
20061125,9,0,8.7
20061126,10.2,4.5,1.2
20061127,14.6,14.5,0
20061128,12.6,0,0
20061129,13.8,0,8.7
20061130,10.3,1.5,1.8
20061201,10.1,0,8.1
20061202,11.3,0,9.1
20061203,8.2,0,5.6
20061204,8.2,0,8.5
20061205,7.9,0,6.3
20061206,8.6,0,6.9
20061207,8.5,0,0
20061208,10.4,0,0
20061209,7.1,9,0
20061210,9.7,0,4.9
20061211,8.8,0,7.8
20061212,6.8,4.5,0
20061213,10.1,4,5
20061214,10.7,8.5,0.7
20061215,10.8,9,3.2
20061216,11.7,0,4.1
20061217,12.5,1,1.9
20061218,8.4,0,8.5
20061219,6.8,0,1.6
20061220,8.5,0,0.3
20061221,9.5,0,0
20061222,8.9,0,0
20061223,8.7,0,9
20061224,8.6,0,6.3
20061225,8.4,0,3.7
20061226,9.7,130,0
20061227,15.2,34,7.1
20061228,11.6,0,9
20061229,6.4,0,9.6
20061230,6.9,0,9.4
20061231,6.2,0,9.1
20070101,5.6,0,4.5
20070102,8.1,0,0.8
20070103,8.3,0,3.4
20070104,6.9,0,6.6
20070105,6.6,0,7.8
20070106,6.4,27,0
20070107,9.4,0,6.3
20070108,7.7,0,8.6
20070109,7.3,0,8.7
20070110,7,0,9.2
20070111,6.7,0,5.5
20070112,6.2,0,5.1
20070113,6.7,0,8.6
20070114,6,0,9.3
20070115,6.9,0,8.6
20070116,7.9,0,6.7
20070117,7,4.5,0
20070118,8.2,0,5.4
20070119,7.1,0,6
20070120,4.8,1,0
20070121,6.8,0,0.9
20070122,7.3,5,4.6
20070123,8.5,0,7.8
20070124,6.9,0,2.5
20070125,7.1,0,9.4
20070126,7.8,4.5,5.3
20070127,9.8,0,8.2
20070128,8.4,0,2.3
20070129,6.9,0.5,0.3
20070130,8.3,0,9.8
20070131,10,0,9.6
20070201,8.4,0,9
20070202,6.1,0,9.8
20070203,7.6,0,8.5
20070204,8.4,0,9.7
20070205,8.8,0,6.9
20070206,10.9,0,8.7
20070207,9.8,0,3
20070208,9,0,8.6
20070209,10.1,1,4.5
20070210,10.4,4,2.2
20070211,8.5,0.5,10.1
20070212,7.9,0,9.9
20070213,7.9,0,3.9
20070214,11.6,16,0.1
20070215,9.8,0,8.2
20070216,8.1,0,9.9
20070217,6.7,2.5,2.2
20070218,6.2,40.5,0.3
20070219,8.1,0,7.2
20070220,6.5,2.5,0
20070221,9.2,0,9.3
20070222,10.4,0,8.1
20070223,11.2,10,0
20070224,6.5,0,10.2
20070225,3.4,0,9.3
20070226,5.9,0,10.8
20070227,9.1,0,8.4
20070228,9.5,0,5.1
20070301,8,0,10.5
20070302,8.5,0,8.3
20070303,11.3,0,0.8
20070304,13.8,0,5.6
20070305,17.5,12,0.3
20070306,12.8,1.5,2.4
20070307,7.4,0,4.7
20070308,7.7,0,9.7
20070309,6.7,0,1.6
20070310,9.6,0,6.7
20070311,9.5,15.5,1
20070312,7.3,0,11.3
20070313,8,0,11
20070314,7.7,0,11.2
20070315,8.7,0,3.5
20070316,7.5,0,0.2
20070317,5.8,0,3.4
20070318,6.1,0,11.2
20070319,7.6,0,9.6
20070320,8,0,8.5
20070321,8.4,0,3.7
20070322,11,0,9
20070323,12,0,10.5
20070324,13.2,3,2.8
20070325,16.7,9,0
20070326,14.2,0,6.7
20070327,13,0,0
20070328,14.5,0,10
20070329,17.6,0,10.9
20070330,13.9,8,4.6
20070331,13.2,3,0.2
20070401,18.2,0,7.1
20070402,13.6,0,0
20070403,8.2,15,0
20070404,7.3,11.5,3
20070405,9.4,0,11.6
20070406,11.7,0,7.3
20070407,13.2,2.5,7.1
20070408,13.5,6.5,6.5
20070409,12.1,2,0.8
20070410,14.1,0,9.2
20070411,12,1,2.4
20070412,12.7,0,10.3
20070413,16.6,0,1.2
20070414,18.3,18,11.8
20070415,15.2,0,7.3
20070416,10.9,14,0
20070417,8.6,13,0.2
20070418,8.7,8,0
20070419,9.7,9.5,3.6
20070420,13.6,0,5
20070421,18.4,0,6.3
20070422,19.2,0,1.8
20070423,14.6,0,0
20070424,13.3,1,0.6
20070425,14.1,13.5,0
20070426,16.1,0,9.1
20070427,13.9,0,7.8
20070428,15.1,5.5,5
20070429,15.6,0,12.6
20070430,18.2,0,12.2
20070501,17.3,3.5,0.3
20070502,19.6,1.5,8.3
20070503,18.6,0,10.2
20070504,20.7,0,11.7
20070505,21.7,0,9.5
20070506,18.1,30,0
20070507,18.6,0,1.1
20070508,20.5,0,7.8
20070509,22.4,0,10.6
20070510,20.4,13,5.5
20070511,18.5,0.5,10.8
20070512,18.6,0,12.1
20070513,19.8,0,
20070514,18.3,0,0.8
20070515,17.5,1.5,8.7
20070516,18.2,0,7.6
20070517,17.8,20,1.7
20070518,20.8,0,4.7
20070519,19.3,5.5,4.1
20070520,19.4,0,13.5
20070521,17.9,0,10.5
20070522,20,0,10.1
20070523,21.4,0,12.2
20070524,21.8,0,6.5
20070525,19.7,44,0
20070526,22.9,0,11.7
20070527,22.1,0,6.5
20070528,15.5,0,12.1
20070529,17.4,0,5
20070530,18.7,2.5,0
20070531,18.8,8.5,2.4
20070601,17.6,0,6.8
20070602,19.7,0,10.1
20070603,20.8,0,8.1
20070604,20.9,0,7.7
20070605,20.8,0,11
20070606,21.9,0,12.6
20070607,22.6,0,6.9
20070608,22,0,5.5
20070609,22,0,3.5
20070610,20.1,8,2
20070611,20.2,24.5,4.6
20070612,22,0,11.8
20070613,23.3,0,9.9
20070614,21.9,11,0.5
20070615,22.6,1,3.9
20070616,23.8,0,13.5
20070617,21.3,0,8.9
20070618,22.9,0,2.2
20070619,24.8,0,9.5
20070620,24.8,0,13.5
20070621,25.1,0,10
20070622,23.7,13.5,0
20070623,24.6,0.5,9.2
20070624,22.3,3,0
20070625,20.9,1.5,0
20070626,22.6,0.5,0
20070627,25.4,0,7.9
20070628,25.4,0,7.9
20070629,26.2,1,0.7
20070630,24.5,1.5,2.8
20070701,22.9,0,1.1
20070702,23.6,8,0
20070703,23,0,0.6
20070704,22.1,14,0
20070705,23.2,0.5,4.3
20070706,24.7,0,8.1
20070707,22.8,0,0
20070708,22.7,0,3.3
20070709,22.9,0,3.2
20070710,22.9,1.5,0
20070711,24.9,33,0
20070712,24.7,2.5,3.3
20070713,24.1,2,0
20070714,22.1,63,0
20070715,24.4,59.5,1.2
20070716,23.5,0,3.9
20070717,19.3,10.5,0
20070718,20.4,0.5,0
20070719,21.7,0,0.3
20070720,23.8,0,4.3
20070721,24.6,1,0
20070722,24.1,5,0.5
20070723,24.4,0,0
20070724,25.6,0,11.8
20070725,25.2,0,9.9
20070726,26.8,0,3.9
20070727,27.8,0,7.9
20070728,27.3,0,10.7
20070729,27.5,4.5,4
20070730,21.9,14.5,0.4
20070731,23,0,4.1
20070801,27,0,8.7
20070802,28.5,2,4.2
20070803,28.8,1.5,8.4
20070804,28.9,0,10.7
20070805,28.4,0,11
20070806,28.2,0,11.1
20070807,28.6,0,12.5
20070808,29.1,0,9.9
20070809,29,0,12.7
20070810,29.9,0,10.6
20070811,30.1,0,12.2
20070812,28.5,0,9.1
20070813,28.9,0,6
20070814,29.6,0,10.6
20070815,29.9,0,12.6
20070816,30.7,0,9.7
20070817,30.4,0,6.4
20070818,25.2,1.5,0
20070819,27.8,0,9.8
20070820,29.9,0,7.8
20070821,29.6,0,10.3
20070822,29.9,0,11.9
20070823,25.7,1.5,2.9
20070824,26.7,0,3.5
20070825,27.9,0,5.5
20070826,28.6,0,8.4
20070827,28.7,0,7.7
20070828,28.5,0,5.1
20070829,24.7,1.5,0
20070830,24.4,0,0
20070831,25.5,0,1.6
20070901,22.2,1,0
20070902,23.4,0,3.2
20070903,24.6,0,4.7
20070904,26.7,2,5.1
20070905,27.3,15,3
20070906,27.3,54.5,0
20070907,27,37,1.6
20070908,28.2,0,11.2
20070909,26.8,0,6.7
20070910,27.1,0,3
20070911,24.9,9,0
20070912,21.9,62.5,0
20070913,23.2,0,0.4
20070914,25.7,0,6.8
20070915,26.6,0,8
20070916,28.1,0,9.7
20070917,28.5,0,7.7
20070918,24.3,0,0.2
20070919,24.4,0,1.3
20070920,26.4,0,11
20070921,26.6,0,10.9
20070922,27.1,0,7.8
20070923,23.6,0,1.9
20070924,22.3,0,0
20070925,23.9,0.5,7.1
20070926,22.6,0,5.3
20070927,23.2,0.5,1.4
20070928,25.7,0,9
20070929,17.9,2,0
20070930,16.7,43,0
20071001,17.7,7.5,0
20071002,19.4,1.5,1.5
20071003,20.4,0,0
20071004,21.9,0,7.1
20071005,22.1,1,7
20071006,20.2,0,7.3
20071007,19.4,0,6.7
20071008,22.5,3,0.2
20071009,18.9,0.5,0
20071010,19.3,0,4
20071011,20.5,0,5.1
20071012,21.1,0,3.5
20071013,18.8,0,2.2
20071014,18,0,0
20071015,18.1,0,3.6
20071016,16.4,0.5,0
20071017,17.1,0.5,3.2
20071018,17.3,0,8.3
20071019,17.4,10,6
20071020,17.2,0,3.8
20071021,16.5,0,10.5
20071022,17.3,0,6.3
20071023,18.6,0,3.3
20071024,16.4,0,8.5
20071025,17.3,0,6.2
20071026,17.5,5.5,0
20071027,17,110,0
20071028,18.4,0,10.2
20071029,21.7,0,5.2
20071030,18.5,0,4
20071031,16.9,2,4.2
20071101,17.4,1,1.8
20071102,15.7,6.5,0
20071103,15.1,0,3.2
20071104,15.4,0,7.3
20071105,15.8,1,4.7
20071106,15.6,1.5,0
20071107,15.3,0,5.1
20071108,15,0,6.4
20071109,15.8,3,2.5
20071110,13.3,16,0
20071111,14.2,2.5,0.2
20071112,15.6,0.5,9.8
20071113,15.5,0,9.8
20071114,16.1,0,7.9
20071115,15.9,0,9.5
20071116,11.4,0,1
20071117,10.1,0,3.9
20071118,11.9,0,9.1
20071119,9.4,0.5,7.8
20071120,10.8,0.5,1.4
20071121,10.6,0,9.3
20071122,8,0,9.2
20071123,9,0,7.3
20071124,9.1,0,9.2
20071125,12,0,9
20071126,12.5,0,5.7
20071127,12.9,0,0
20071128,10.5,0,0
20071129,9.5,0,0
20071130,9.6,0.5,0
20071201,11.7,0,5.8
20071202,12.5,0,6.5
20071203,12.4,7.5,1.4
20071204,9.2,0,7.3
20071205,8.5,0,9
20071206,10,0,8.3
20071207,11.3,0,8.9
20071208,10.3,0,3.6
20071209,10.1,0,8.8
20071210,8.8,0,3.6
20071211,9.7,1,2.6
20071212,10.5,0,5.4
20071213,9,9,0
20071214,10,0,8.6
20071215,8.4,0,8.8
20071216,7,0,9.3
20071217,7.2,0,3.2
20071218,7.2,0,8.9
20071219,6.9,0,1.5
20071220,8.1,0,8.8
20071221,9.1,0,7.8
20071222,6.7,4,0
20071223,7.9,14,2.5
20071224,10,0,9
20071225,7.5,0,0
20071226,6.1,0,6.9
20071227,7.1,0,8.9
20071228,8.4,11.5,3
20071229,10.4,23,0
20071230,9.7,0.5,6.4
20071231,7.6,0,9.3
20080101,6.7,0,7.9
20080102,6.4,0,8.9
20080103,6.4,0,9.4
20080104,6.7,0,9.4
20080105,5.9,0,4.1
20080106,8.5,0,9.2
20080107,8.1,1.5,1.2
20080108,9.3,0,8.5
20080109,10,0,1.7
20080110,8.6,0,8.2
20080111,8.9,0,6.2
20080112,7,6.5,0
20080113,4.5,0,0.3
20080114,3.5,0,0.4
20080115,4.7,0,8.1
20080116,5.9,0,6.9
20080117,3.3,1,8.4
20080118,2.7,0,0
20080119,3.7,0,7.5
20080120,4.4,0,3
20080121,4.3,0,0
20080122,3.8,0,4.9
20080123,3.1,11,0
20080124,4.9,0,7.6
20080125,3.7,0,9.7
20080126,3.4,0,6.8
20080127,3.7,0,9.4
20080128,4.4,0,5.3
20080129,4.3,4,0
20080130,7.7,0,7.4
20080131,6.1,0,5
20080201,5.2,0,9.8
20080202,4.5,0,0
20080203,1.4,30.5,0
20080204,4.6,1,9.7
20080205,5.2,0,8.7
20080206,2.2,4,0
20080207,4.8,2,8.1
20080208,4.9,0,9.3
20080209,2.5,7,0
20080210,5.9,0,5.8
20080211,6.4,0,7.5
20080212,5.7,11,0
20080213,3.2,0,10.1
20080214,5.5,0,10.2
20080215,5.7,0,10.4
20080216,4.9,0,8
20080217,3.5,0,8.4
20080218,4.7,0,10.3
20080219,5,0,6.2
20080220,6.4,0,10.5
20080221,8.3,0,10.4
20080222,9.1,0,9.5
20080223,7.2,0,6.4
20080224,3.9,0,10.6
20080225,4.3,0,10.6
20080226,9.7,8,0.7
20080227,6.4,2.5,8.9
20080228,6.5,0,10.5
20080229,7.9,0,10.8
20080301,9.1,0,9
20080302,8.3,0,4.6
20080303,9.4,0,4.9
20080304,8,0,8.4
20080305,6.2,0,3.7
20080306,7,0,11.1
20080307,7.7,2,7.1
20080308,8.2,0,11
20080309,10,0,9.6
20080310,9.1,13,0.8
20080311,11.3,0,10.7
20080312,9.1,0,9.3
20080313,9.8,0,9.4
20080314,13.6,27,0
20080315,14.1,1,7.7
20080316,13.2,0,8.7
20080317,12.8,0,3.9
20080318,12,0,7.7
20080319,11.8,5.5,0.6
20080320,9,26,0
20080321,9.7,0,0.1
20080322,11.1,0,10.9
20080323,11.5,0,9.8
20080324,9.9,8,0.2
20080325,12.1,0,9.3
20080326,14.6,0,9.1
20080327,11.6,0,8.3
20080328,12.1,6,5.3
20080329,11.6,0,8.6
20080330,8.6,7.5,0
20080331,7.1,31.5,1.7
20080401,10.9,0,12
20080402,12.6,0,7.3
20080403,13.4,0,10.5
20080404,13.4,0,3.1
20080405,13.9,0,9.8
20080406,14.3,0,10.9
20080407,12.7,5,0.5
20080408,11.8,83.5,0
20080409,12.1,0,2.4
20080410,9.8,21,0
20080411,12.8,2.5,5.2
20080412,14.7,0,5.1
20080413,10.8,1,0
20080414,12.1,5.5,3.4
20080415,14.9,0,11.6
20080416,16.6,0,4.7
20080417,16.5,12,0
20080418,13.7,55,0
20080419,13.6,2.5,0
20080420,13.8,0,0
20080421,14.1,0,5.4
20080422,14.6,0,10.2
20080423,16,0,10.9
20080424,17.4,6,0
20080425,13.9,0,4.4
20080426,13.1,1,0.3
20080427,13.7,3,4.8
20080428,14.7,0,5.1
20080429,17,0,9
20080430,19.6,0,11.3
20080501,20.2,0,8.5
20080502,19,6.5,0
20080503,18,24,0
20080504,17.7,0,0.2
20080505,18.2,0.5,0.4
20080506,19.7,0,11.9
20080507,20.6,0,11.5
20080508,18.5,0,7.7
20080509,18.2,0,2.6
20080510,13.1,13,0
20080511,11.3,10,0.2
20080512,11.8,4.5,0
20080513,10.9,49,0
20080514,12.4,10,0
20080515,16.1,0,7.4
20080516,17.8,0,9.1
20080517,18.1,0,8.5
20080518,17.9,0,9.3
20080519,19.4,3.5,3.2
20080520,20.6,44.5,0.4
20080521,19.3,0,10.7
20080522,21.1,0,9.5
20080523,23.4,0,9.9
20080524,21.2,13.5,4
20080525,21.4,17.5,0
20080526,22.9,0,8.5
20080527,21.8,0,13.1
20080528,20,0,5.3
20080529,15.3,27.5,0
20080530,14.4,1,0
20080531,13.5,11.5,0
20080601,18.2,0,10
20080602,18.7,4,0
20080603,15.6,27.5,0
20080604,18.2,0,1.9
20080605,18.8,1.5,0.3
20080606,22.3,0,9.6
20080607,22.6,0,6.1
20080608,20.9,0,0
20080609,20.8,1,0.9
20080610,21.9,0,12.6
20080611,22,0,2.1
20080612,17.8,30.5,0.6
20080613,21,0,13.2
20080614,22.5,0,11
20080615,20.6,0,4.9
20080616,22.3,0,7.6
20080617,21.3,0,2.3
20080618,21.7,0,2.9
20080619,23.1,0,2.4
20080620,22.9,1.5,0
20080621,22.8,12.5,0.2
20080622,20.7,74,0
20080623,20.6,17,1
20080624,22.3,0,10.5
20080625,21.5,0,3
20080626,17,2.5,0
20080627,20.3,0,0
20080628,22.5,0,0
20080629,21.2,52.5,0
20080630,21.1,12.5,6.1
20080701,21.1,0,2.8
20080702,23.1,0,10.3
20080703,24,0,1.1
20080704,26.4,3,8.2
20080705,26,0,8.5
20080706,26,0,4.1
20080707,24.6,4.5,0
20080708,23.3,4.5,0
20080709,23.2,0,2.7
20080710,24.1,0,5.5
20080711,25.7,0,4.6
20080712,26.8,5,9.2
20080713,26.7,0,7.1
20080714,27.4,0,4.3
20080715,26.9,0,5.7
20080716,26.8,0,8
20080717,27.6,0,6.7
20080718,27.7,1,1
20080719,28.1,0,9.8
20080720,25.7,0,9
20080721,26.4,0,1.3
20080722,28,0,6
20080723,28.6,0,9.5
20080724,28.6,0,7.1
20080725,28.6,0,9.5
20080726,27,0,3.3
20080727,27.4,0,3.2
20080728,28.4,0,3.6
20080729,27.7,0,7.7
20080730,26.1,0,7.9
20080731,25.5,0,6.3
20080801,26.9,0,5.7
20080802,28,0,7.2
20080803,29.8,0,8.2
20080804,30,0,8.3
20080805,27.9,2,0
20080806,29.5,0,8.9
20080807,29.7,0,11.7
20080808,30.1,0,11
20080809,28.6,0,4.3
20080810,26.6,0,0.5
20080811,27.9,0,4.5
20080812,27.7,1.5,4.8
20080813,28.9,0,8.4
20080814,29.9,0,8
20080815,30.4,0,12
20080816,28.3,28.5,4.5
20080817,22.3,8,0
20080818,24.6,0,7.2
20080819,28.2,0,7.6
20080820,27.2,5,6.3
20080821,24.9,18.5,6.8
20080822,22.2,0,4.2
20080823,22.4,1,0
20080824,25.2,0.5,0
20080825,24.6,6,0
20080826,22.9,1,0.1
20080827,24.1,0,1.7
20080828,26,15,2.5
20080829,26,33.5,1.9
20080830,26,65,2.5
20080831,25.5,0.5,2.9
20080901,26.5,3,4.1
20080902,27.6,3,8.1
20080903,28,0,11.5
20080904,26.6,0,3.1
20080905,25.4,0,2.9
20080906,26.1,0,2.7
20080907,26.7,0,3.6
20080908,26.6,0,8.1
20080909,25.1,0,11.9
20080910,23.7,0,9.5
20080911,22.5,4,1.5
20080912,25.3,0,11.2
20080913,25.7,0,5.5
20080914,24.6,0,3.4
20080915,24.2,0.5,1.1
20080916,22.6,14.5,2.8
20080917,24.1,0,9.2
20080918,23.4,1.5,0
20080919,23.6,22.5,0
20080920,23.5,71,4.4
20080921,22.7,44,0.5
20080922,20.7,40,0
20080923,23.3,0,5.7
20080924,23.9,0,10.2
20080925,24.6,0,4.9
20080926,25.8,0,1.3
20080927,20.1,0,1.7
20080928,18.1,0,0
20080929,16.8,28,0
20080930,17.2,8.5,0
20081001,18.6,15.5,0.1
20081002,19,0,10.5
20081003,19.1,0,5
20081004,20.4,0,6
20081005,20.9,2,3.9
20081006,18.9,19,0.1
20081007,21.3,2,4.3
20081008,18.9,33,0
20081009,20.5,0,4.7
20081010,21.2,3,1.5
20081011,21.1,2,1.5
20081012,18,0,6.7
20081013,18.8,0,3.4
20081014,19,10.5,0.9
20081015,19.3,1.5,3.5
20081016,19.3,0,10.5
20081017,19.1,0,7.8
20081018,18.9,0,3.3
20081019,19.2,0,4.4
20081020,19.7,0,8.4
20081021,19.6,0,9.7
20081022,19.2,0,3.1
20081023,20.3,29,2
20081024,22,22,0
20081025,20.2,0,0
